channel,title,duration,url,playlist_url,error,downloaded,ext,match,path
Public Sénat,Audition de Manuel Valls - Les matins du Sénat (11/03/2016),5022,https://www.youtube.com/watch?v=TyzDQYeMn74,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatAuditiondeManuelVallsLesmatinsduSnat11032016,TyzDQYeMn74.wav
Public Sénat,Système Prostitutionnel - Les matins du Sénat (10/03/2016),6980,https://www.youtube.com/watch?v=ZrZ5YowsReU,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatSystmeProstitutionnelLesmatinsduSnat10032016,ZrZ5YowsReU.wav
Public Sénat,Audition de Manuel Valls et de Jean-Jacques Urvoas - Les matins du Sénat (08/03/2016),12314,https://www.youtube.com/watch?v=kMkwaMTK_cA,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatAuditiondeManuelVallsetdeJeanJacquesUrvoasLesmatinsduSnat08032016,kMkwaMTK_cA.wav
Public Sénat,Sécurité publique dans les transports/Révision constitutionnelle - Les matins du Sénat (07/03/2016),7144,https://www.youtube.com/watch?v=ZWmMWK5jeec,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatScuritpubliquedanslestransportsRvisionconstitutionnelleLesmatinsduSnat07032016,ZWmMWK5jeec.wav
Public Sénat,Accueil des réfugiés - Les matins du Sénat (04/03/2016),7177,https://www.youtube.com/watch?v=mh7weiTMQHA,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatAccueildesrfugisLesmatinsduSnat04032016,mh7weiTMQHA.wav
Public Sénat,Révision constitutionnelle - Les matins du Sénat (03/03/2016),7122,https://www.youtube.com/watch?v=9NlHT0kNQ7M,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatRvisionconstitutionnelleLesmatinsduSnat03032016,9NlHT0kNQ7M.wav
Public Sénat,Révision constitutionnelle - Les matins du Sénat (02/03/2016),7145,https://www.youtube.com/watch?v=CAA6tyv6pKc,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatRvisionconstitutionnelleLesmatinsduSnat02032016,CAA6tyv6pKc.wav
Public Sénat,"Best of PJL création,architecture, patrimoine. - Les matins du Sénat (01/03/2016)",6757,https://www.youtube.com/watch?v=Fi4Uin3Jndw,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatBestofPJLcrationarchitecturepatrimoineLesmatinsduSnat01032016,Fi4Uin3Jndw.wav
Public Sénat,Territoire zéro chômage - Les matins du Sénat (26/02/2016),6942,https://www.youtube.com/watch?v=BSufmj7qShA,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatTerritoirezrochmageLesmatinsduSnat26022016,BSufmj7qShA.wav
Public Sénat,Proposition de loi pour renforcer la protection de l'enfant - Les matins du Sénat (25/02/2016),6900,https://www.youtube.com/watch?v=ttyFaTL3cP0,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatPropositiondeloipourrenforcerlaprotectiondelenfantLesmatinsduSnat25022016,ttyFaTL3cP0.wav
Public Sénat,Auditions Mission d'information sur l'islam - Les matins du Sénat (23/02/2016),7209,https://www.youtube.com/watch?v=b4vvir2ecTA,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatAuditionsMissiondinformationsurlislamLesmatinsduSnat23022016,b4vvir2ecTA.wav
Public Sénat,Discussion des articles sur la proposition de loi sur la moder... - Les matins du Sénat (22/02/2016),7421,https://www.youtube.com/watch?v=rqHc8yxQErc,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatDiscussiondesarticlessurlapropositiondeloisurlamoderLesmatinsduSnat22022016,rqHc8yxQErc.wav
Public Sénat,Audition de Laurent Fabius - Les matins du Sénat (18/02/2016),4988,https://www.youtube.com/watch?v=uLDITmWHWcc,https://www.youtube.com/playlist?list=PL-M7yEVf_H0jrT4Lhw2rVREzbJwXcGMrJ,0,0,m4a,PublicSnatAuditiondeLaurentFabiusLesmatinsduSnat18022016,uLDITmWHWcc.wav
