channel,title,duration,url,playlist_url,error,downloaded,ext,match,path
TEDx Talks,Et si chacun d'entre nous était un petit bonheur pour le monde | Alexandre Jost | TEDxBelfort,767,https://www.youtube.com/watch?v=WVku4__kyLA,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksEtsichacundentrenoustaitunpetitbonheurpourlemondeAlexandreJostTEDxBelfort,WVku4__kyLA.wav
TEDx Talks,Du local au global | Antoine Bailly | TEDxBelfort,780,https://www.youtube.com/watch?v=7WpBsUk_pYM,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksDulocalauglobalAntoineBaillyTEDxBelfort,7WpBsUk_pYM.wav
TEDx Talks,Le défi Galiléen | Florent Montaclair | TEDxBelfort,761,https://www.youtube.com/watch?v=n-QCkJRcARY,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLedfiGalilenFlorentMontaclairTEDxBelfort,n-QCkJRcARY.wav
TEDx Talks,La mondialisation des migrations | Catherine Wihtol de Wenden | TEDxBelfort,814,https://www.youtube.com/watch?v=dT8B8Epdwqk,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLamondialisationdesmigrationsCatherineWihtoldeWendenTEDxBelfort,dT8B8Epdwqk.wav
TEDx Talks,L'insoutenable involution de l'être… disparu derrière son écran | Laurent Chrzanovski | TEDxBelfort,689,https://www.youtube.com/watch?v=3q3jMcUl4dA,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLinsoutenableinvolutiondeltredisparuderriresoncranLaurentChrzanovskiTEDxBelfort,3q3jMcUl4dA.wav
TEDx Talks,Comment fait-on des choix dans la vie ? | Léopoldine Hummel | TEDxBelfort,712,https://www.youtube.com/watch?v=xpXOQI3dwRw,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksCommentfaitondeschoixdanslavieLopoldineHummelTEDxBelfort,xpXOQI3dwRw.wav
TEDx Talks,Sur la trace des lemmings – Recherche scientifique et exploration  | Benoit Sittler | TEDxBelfort,725,https://www.youtube.com/watch?v=0xheSU9Bz6c,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksSurlatracedeslemmingsRecherchescientifiqueetexplorationBenoitSittlerTEDxBelfort,0xheSU9Bz6c.wav
TEDx Talks,"Longévité : un vieux rêves de l'humanité, peut-être le plus beau | Didier Coeurnelle | TEDxBelfort",751,https://www.youtube.com/watch?v=tfHoeUeI2Vw,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLongvitunvieuxrvesdelhumanitpeuttreleplusbeauDidierCoeurnelleTEDxBelfort,tfHoeUeI2Vw.wav
TEDx Talks,"Oser, c'est gagner ! | Rémi CAMUS | TEDxOrléans",1017,https://www.youtube.com/watch?v=jC4QLEWMGQc,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksOsercestgagnerRmiCAMUSTEDxOrlans,jC4QLEWMGQc.wav
TEDx Talks,"Yes, we can! | Michelle Laruë-Charlus | TEDxTbilisi",798,https://www.youtube.com/watch?v=sPP_fdyZTsw,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksYeswecanMichelleLaruCharlusTEDxTbilisi,sPP_fdyZTsw.wav
TEDx Talks,Comment apprendre l'algèbre en 42 minutes ? | Jean-Baptiste Huynh | TEDxParis,686,https://www.youtube.com/watch?v=CbFkp5qxj6A,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksCommentapprendrelalgbreen42minutesJeanBaptisteHuynhTEDxParis,CbFkp5qxj6A.wav
TEDx Talks,Demain ce sera : à chacun son prix ! | Emmanuel Combe | TEDxMarseille,1004,https://www.youtube.com/watch?v=MG5vRPWV48U,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksDemainceserachacunsonprixEmmanuelCombeTEDxMarseille,MG5vRPWV48U.wav
TEDx Talks,De la dualité à la complexité | Chris Blache | TEDxChampsElyseesWomen,809,https://www.youtube.com/watch?v=hUG5UxuOT3M,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksDeladualitlacomplexitChrisBlacheTEDxChampsElyseesWomen,hUG5UxuOT3M.wav
TEDx Talks,Le harcèlement de rue | Fatima-Ezzahra Ben-omar | TEDxChampsElyseesWomen,827,https://www.youtube.com/watch?v=PW_iQPB1e5c,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLeharclementderueFatimaEzzahraBenomarTEDxChampsElyseesWomen,PW_iQPB1e5c.wav
TEDx Talks,Comment Game of Thrones m'a ouvert les yeux ? | Iris Brey | TEDxChampsElyseesWomen,1055,https://www.youtube.com/watch?v=AQKparroPCE,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksCommentGameofThronesmaouvertlesyeuxIrisBreyTEDxChampsElyseesWomen,AQKparroPCE.wav
TEDx Talks,L'engagement citoyen comme facteur de sécurité & d'égalité | Karine Lejeune | TEDxChampsElyseesWomen,914,https://www.youtube.com/watch?v=u-xuAJeyoGg,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLengagementcitoyencommefacteurdescuritdgalitKarineLejeuneTEDxChampsElyseesWomen,u-xuAJeyoGg.wav
TEDx Talks,"Femmes, osez être un modèle inspirant ! | Madeline Da Silva | TEDxChampsElyseesWomen",899,https://www.youtube.com/watch?v=0qeD3P0_o08,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksFemmesoseztreunmodleinspirantMadelineDaSilvaTEDxChampsElyseesWomen,0qeD3P0_o08.wav
TEDx Talks,Les toilettes : constructions spatiales et sociales | Lucile Biarrotte | TEDxChampsElyseesWomen,796,https://www.youtube.com/watch?v=xQp_9xpylTg,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLestoilettesconstructionsspatialesetsocialesLucileBiarrotteTEDxChampsElyseesWomen,xQp_9xpylTg.wav
TEDx Talks,L'émergence d'un troisième genre | Fanny Parise | TEDxChampsElyseesWomen,870,https://www.youtube.com/watch?v=dRNMA8XKeWo,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLmergenceduntroisimegenreFannyPariseTEDxChampsElyseesWomen,dRNMA8XKeWo.wav
TEDx Talks,Regardons les ! | Claire Lajeunie | TEDxChampsElyseesWomen,808,https://www.youtube.com/watch?v=piExtXAKmAo,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksRegardonslesClaireLajeunieTEDxChampsElyseesWomen,piExtXAKmAo.wav
TEDx Talks,Championne de France de cyber-harcèlement | Marion Seclin | TEDxChampsElyseesWomen,779,https://www.youtube.com/watch?v=sphZS8JVwNc,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksChampionnedeFrancedecyberharclementMarionSeclinTEDxChampsElyseesWomen,sphZS8JVwNc.wav
TEDx Talks,Harceler n'est pas jouer ! | Johanna Dagorn & Arnaud Alessandrin | TEDxChampsElyseesWomen,817,https://www.youtube.com/watch?v=k3wWzKkia0E,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksHarcelernestpasjouerJohannaDagornArnaudAlessandrinTEDxChampsElyseesWomen,k3wWzKkia0E.wav
TEDx Talks,L'écritothérapie | Bernard Werber | TEDxMarseille,1056,https://www.youtube.com/watch?v=HvTZx2ZYnLo,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLcritothrapieBernardWerberTEDxMarseille,HvTZx2ZYnLo.wav
TEDx Talks,Le code de la conscience | Stanislas Dehaene | TEDxMarseille,1087,https://www.youtube.com/watch?v=sqDwra7MOrk,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLecodedelaconscienceStanislasDehaeneTEDxMarseille,sqDwra7MOrk.wav
TEDx Talks,Ma vie pour celle d'une baleine | Lamya Essemlali | TEDxMarseille,781,https://www.youtube.com/watch?v=9AVLBhOIwqo,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksMaviepourcelledunebaleineLamyaEssemlaliTEDxMarseille,9AVLBhOIwqo.wav
TEDx Talks,Explorer pour s'adapter à demain | Christian Clot | TEDxMarseille,986,https://www.youtube.com/watch?v=JvE-0v7CNRU,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksExplorerpoursadapterdemainChristianClotTEDxMarseille,JvE-0v7CNRU.wav
TEDx Talks,L'égalité entre le formel et le réel | Geneviève Fraisse | TEDxChampsElyseesWomen,621,https://www.youtube.com/watch?v=OPHs-GrkRsM,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLgalitentreleformeletlerelGeneviveFraisseTEDxChampsElyseesWomen,OPHs-GrkRsM.wav
TEDx Talks,La vie est un combat ! Accepte-le ! | Emmanuel LECLERCQ | TEDxBelfort,822,https://www.youtube.com/watch?v=lB6jQUdzhks,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksLavieestuncombatAccepteleEmmanuelLECLERCQTEDxBelfort,lB6jQUdzhks.wav
TEDx Talks,Comment devenir un meilleur leader grâce à Dark Vador ? | Thais COMPOINT | TEDxBelfort,660,https://www.youtube.com/watch?v=7Fl1H1DASSo,https://www.youtube.com/playlist?list=PLsRNoUx8w3rOzmp0qoc53u3vYrcFYsvKj,0,0,m4a,TEDxTalksCommentdevenirunmeilleurleadergrceDarkVadorThaisCOMPOINTTEDxBelfort,7Fl1H1DASSo.wav
